Entity,Code,Year,Tea,Sugar,Peanuts,Palm oil,Coffee,Cocoa,Wheat,Rye,Rice,Corn,Barley,Pork,Beef,Lamb
World,OWID_WRL,1850,191.12218,210.84259,,117.30515,138.99068,79.9121,98.04873,189.65752,124.96697,98.80269,116.838425,55.130657,76.806946,78.36912
World,OWID_WRL,1851,182.44576,224.011,,111.848854,120.27542,78.66896,70.05146,205.83524,118.75844,98.94129,126.47213,76.30844,78.46539,81.923195
World,OWID_WRL,1852,155.16415,196.04701,,114.60614,112.38017,63.19299,68.53606,224.24324,132.17624,106.76517,143.71362,92.363716,80.21489,81.04818
World,OWID_WRL,1853,193.16353,221.61836,,146.22163,115.68547,92.88048,111.94649,200.9219,160.08011,109.23692,166.8284,84.039276,100.915504,99.468216
World,OWID_WRL,1854,180.65268,196.07843,,174.54546,123.175186,94.584366,152.59901,146.90326,166.21622,118.17668,166.45306,67.31147,102.38095,91.52542
World,OWID_WRL,1855,170.49753,220.93687,,155.41766,116.69323,91.87551,178.45721,119.30204,170.6444,135.84279,156.74551,84.30488,101.761566,87.2578
World,OWID_WRL,1856,168.6225,256.30457,,151.24088,129.5058,93.66384,144.35626,187.65268,133.81995,97.08021,188.18443,86.45023,96.66898,88.956245
World,OWID_WRL,1857,195.23853,309.40527,,157.44681,128.75821,85.80633,123.676506,177.48224,133.92435,106.94396,187.29468,99.91264,96.21749,88.06347
World,OWID_WRL,1858,196.8768,264.01297,,144.66165,128.74721,90.048744,93.491196,220.69377,104.7619,110.74633,164.13078,80.963844,99.576324,88.17383
World,OWID_WRL,1859,218.6995,245.55052,,165.26054,138.21974,76.41854,125.29902,183.39365,117.36973,124.31231,156.8982,88.149574,98.587975,90.72213
World,OWID_WRL,1860,219.52345,253.47151,,168.933,147.43439,71.86981,132.4284,193.56436,140.57072,107.565254,171.37392,101.242744,100.99255,95.85734
World,OWID_WRL,1861,189.07704,216.79753,,155.9719,159.44005,69.547516,96.72469,226.92921,136.53395,63.319893,159.09738,66.82363,95.31616,88.85405
World,OWID_WRL,1862,186.62985,183.34439,,130.5436,223.445,124.10043,90.172516,175.53102,119.589745,62.008034,135.4928,46.672848,77.52381,74.996956
World,OWID_WRL,1863,145.85466,141.64049,,89.99178,245.12582,134.35661,94.19757,98.71766,99.42481,103.143265,102.395836,55.066166,65.29327,61.2175
World,OWID_WRL,1864,113.43502,134.14185,,66.08011,104.84613,117.041405,115.83128,54.17704,69.33684,151.80144,71.93761,83.723564,55.992245,49.82361
World,OWID_WRL,1865,119.44593,109.16813,,69.36035,100.34377,132.09718,83.14043,69.25554,75.934135,86.0934,71.26934,104.38031,56.461292,55.920395
World,OWID_WRL,1866,118.79009,107.857155,,80.779724,89.27852,93.92941,97.95697,77.27179,85.76998,75.55746,91.70782,91.15156,59.188095,54.68442
World,OWID_WRL,1867,124.84176,124.658844,,84.6304,83.73079,77.02491,159.736,58.593327,91.28313,128.80025,104.984344,70.2171,60.81889,52.91587
World,OWID_WRL,1868,132.66905,129.72481,,85.92162,75.45581,72.0031,143.58005,54.287918,87.80842,129.43486,117.44457,94.14307,60.477573,51.061474
World,OWID_WRL,1869,127.692696,144.9882,,91.8698,78.71166,68.071625,97.068474,75.29602,79.93944,109.90454,112.540276,115.20037,67.488556,60.575577
World,OWID_WRL,1870,128.84564,151.40665,203.42216,91.25692,88.06728,78.817566,88.10218,103.39321,83.478264,121.37397,103.241104,107.81316,73.540375,63.257183
World,OWID_WRL,1871,131.73077,167.15686,221.7742,95,108.728714,66.686485,118.157234,105.252,84.54392,88.39329,130.23648,68.46614,86.75595,73.41102
World,OWID_WRL,1872,134.45512,161.76471,188.50807,97.5,140.09276,71.59136,121.523796,102.09581,92.9054,69.22918,124.66216,58.644714,85.11905,78.07204
World,OWID_WRL,1873,136.33731,154.10413,178.82648,96.965515,172.87,65.75266,116.056854,106.02898,91.034485,67.136986,166.03448,62.87124,93.56322,84.44477
World,OWID_WRL,1874,146.08882,153.24666,230.70944,96.521736,187.2449,69.924805,113.20205,125.97703,99.63768,127.55173,174.27536,87.61369,89.53157,77.480965
World,OWID_WRL,1875,149.17342,150.00737,197.42906,100.150375,175.67014,69.35591,110.38202,115.9009,85.80827,126.504814,160.90225,112.702484,100.183495,92.06384
World,OWID_WRL,1876,149.93213,159.76146,171.85258,108.25794,184.24156,80.70382,113.826096,106.33593,95.28393,91.229645,131.85756,105.64548,96.99803,95.606926
World,OWID_WRL,1877,149.36465,188.69893,152.63309,116.650246,197.85027,87.76654,144.30826,97.00481,108.37438,94.541405,124.729065,83.9718,93.56322,93.789764
World,OWID_WRL,1878,150.00928,165.05464,160.20949,116.31851,169.47368,95.96757,115.091156,91.57074,113.753876,82.20873,120.785934,60.335583,98.20751,97.01856
World,OWID_WRL,1879,144.02461,158.45245,133.05534,104.074455,149.34233,108.44122,118.15941,113.24528,110.34126,78.66649,123.88831,61.100204,90.190575,91.311584
World,OWID_WRL,1880,128.95288,164.2785,132.48267,95.58022,145.10103,96.58458,122.72664,122.1432,101.00908,80.66507,133.80424,75.559975,95.82913,91.88459
World,OWID_WRL,1881,122.73021,170.7208,145.73093,95.58022,118.37079,88.23096,133.52823,150.34271,93.23915,107.49737,165.28758,99.63878,93.873436,96.06116
World,OWID_WRL,1882,120.43261,164.2785,190.77504,104.54087,103.78158,87.33936,136.1559,103.452835,83.249245,144.41101,127.346115,120.12273,99.740524,100.23773
World,OWID_WRL,1883,121.74074,161.08722,213.6341,124.98455,105.38379,94.79442,120.22426,97.71929,91.76107,116.91291,121.31823,100.79115,101.79491,103.72323
World,OWID_WRL,1884,117.51733,117.48212,173.94933,112.050476,110.42022,86.94188,100.19548,91.23205,90.22082,115.92454,101.577286,92.23808,99.859795,92.84785
World,OWID_WRL,1885,122.76329,119.87714,112.69556,95.27897,91.9743,87.50664,103.25233,101.111084,82.61803,97.41371,119.5279,72.84265,91.49806,82.89809
World,OWID_WRL,1886,122.438705,101.50499,126.68365,77.89474,107.79024,92.66579,96.36374,94.42081,80.8114,86.20809,116.447365,73.260826,85.00418,93.79275
World,OWID_WRL,1887,108.8659,100.40407,113.91785,70.62907,193.66338,88.276794,94.15519,94.277824,72.77657,91.2169,112.79826,85.5889,75.674,77.81168
World,OWID_WRL,1888,113.08471,110.790695,131.00552,70.62907,171.06372,88.276794,113.45595,104.32237,84.70716,107.47157,128.19957,99.87801,81.98016,86.789955
World,OWID_WRL,1889,114.76083,135.98874,173.68002,82.95964,204.28091,84.05295,110.05773,76.5017,90.02242,81.110794,93.049324,79.12336,84.73735,97.44243
World,OWID_WRL,1890,114.556076,110.386375,169.69498,90.61224,213.79077,80.64548,116.43074,114.76412,91.04308,94.165726,140.81633,71.56114,83.5007,92.29025
World,OWID_WRL,1891,115.73929,112.19599,113.12998,87.25623,201.1598,75.93586,126.05349,142.21172,88.67347,141.45663,118.36735,79.71561,87.89548,82.9048
World,OWID_WRL,1892,108.85516,115.815216,101.221565,80.54422,190.4001,74.2108,103.23013,98.92188,97.27891,111.08922,105.66894,92.44267,83.5007,82.9048
World,OWID_WRL,1893,107.22036,108.90673,102.38236,82.31651,214.76619,82.449036,89.34533,92.417,81.36468,96.72985,92.201836,120.944664,83.346985,85.43772
World,OWID_WRL,1894,109.09119,105.25697,85.008125,86.95444,219.04526,75.71244,78.660065,94.6797,67.26619,109.93183,104.796165,96.957146,85.98264,90.98484
World,OWID_WRL,1895,112.23776,94.117645,96.77419,83.63636,205.54541,73.7668,85.97901,81.237526,75.675674,102.23471,80.58968,85.63171,88.09524,98.305084
World,OWID_WRL,1896,111.30536,98.039215,109.67742,80,186.66362,67.46568,94.35019,73.652695,83.78378,67.653336,72.72727,67.21718,80.95238,89.830505
World,OWID_WRL,1897,110.44776,87.34757,91.446,80.995026,95.4549,71.84795,122.816185,86.087524,94.402985,67.586266,85.32338,72.98582,86.78038,94.3798
World,OWID_WRL,1898,107.733765,93.30309,94.71192,84.67662,76.97976,96.8552,128.38022,89.118774,98.50746,83.61785,96.76617,77.165985,86.78038,89.231804
World,OWID_WRL,1899,104.075775,97.27344,111.041565,92.0398,75.44016,87.33384,102.27773,100.03128,98.50746,88.89924,96.51741,80.844536,96.422646,92.6638
World,OWID_WRL,1900,100,100,100,100,100,100,100,100,100,100,100,100,100,100
World,OWID_WRL,1901,94.48084,79.93693,92.41309,93.59968,77.70516,92.90888,100.45078,108.44815,88.79107,129.31613,110.194176,115.34598,98.78641,98.78641
World,OWID_WRL,1902,98.91441,63.113358,107.047264,97.60192,68.63995,92.37014,102.86705,97.407104,84.85893,152.91435,108.633095,133.95078,97.60192,97.60192
World,OWID_WRL,1903,73.65305,66.089355,110.819496,97.09803,65.97915,90.885735,106.480354,101.904045,104.915794,114.99486,104.806564,113.47331,90.86821,95.4279
World,OWID_WRL,1904,87.35852,86.98723,139.96187,94.32213,90.305984,92.07737,137.83766,130.28127,86.4768,124.53636,95.48088,95.95778,94.32213,94.32213
World,OWID_WRL,1905,85.821205,94.07656,123.132774,93.75777,96.10511,91.448204,135.88097,114.85634,98.43268,125.3624,92.37984,98.73754,95.10221,95.4279
World,OWID_WRL,1906,73.61611,69.9285,117.43859,103.15108,91.2761,91.67724,104.516106,108.99989,113.17767,112.92231,95.87156,115.54879,93.348625,93.348625
World,OWID_WRL,1907,68.96384,70.40772,126.82271,106.60809,71.07245,106.37422,115.25376,129.48067,116.29423,123.141685,145.99341,106.986725,87.21766,87.08069
World,OWID_WRL,1908,65.22831,82.547966,108.917984,91.25561,70.1162,75.50508,126.028595,132.60295,123.215706,163.00868,126.90583,103.83999,91.25561,87.38884
World,OWID_WRL,1909,72.15848,82.179756,122.061295,97.1359,88.706795,65.368835,157.44199,132.26427,98.06168,160.76218,126.75737,137.1017,92.29025,92.29025
World,OWID_WRL,1910,71.17928,84.94703,114.04154,113.18468,104.50137,58.92474,137.2818,127.898384,93.746216,134.99306,131.81325,155.8913,88.08055,88.00769
World,OWID_WRL,1911,71.77589,94.31517,119.743614,111.637856,144.66939,62.07984,123.02838,142.18771,122.685555,136.44069,179.15309,116.188644,87.7789,88.00769
World,OWID_WRL,1912,71.195015,79.86168,122.91009,104.83468,153.74608,64.4364,128.11981,109.41139,138.684,156.71242,108.297874,129.42882,86.30019,86.22881
World,OWID_WRL,1913,70.568085,58.424244,123.08468,110.07053,112.68592,70.15681,113.9471,100.53144,106.3182,138.30357,109.375,138.21532,83.34471,83.35452
World,OWID_WRL,1914,69.91265,78.36251,113.81204,119.3903,82.58192,62.00349,120.727394,136.1504,99.26218,153.3745,110.62952,136.72348,80.85039,80.80058
World,OWID_WRL,1915,67.306076,97.746796,110.53189,124.62801,75.93069,83.08031,154.8833,139.45497,100.02249,159.20753,106.776184,115.93928,171.99474,184.49779
World,OWID_WRL,1916,61.612892,118.1325,118.457436,163.76514,86.83456,64.66065,149.12985,171.02637,84.509926,165.87979,151.12782,144.92125,171.54597,175.37514
World,OWID_WRL,1917,65.198845,103.65354,143.37477,199.37363,71.14169,42.332047,212.63657,219.25261,60.527687,274.22333,191.88768,197.29971,141.725,160.61966
World,OWID_WRL,1918,64.93295,80.979614,113.33162,154.55106,64.13835,41.50561,169.88942,160.74889,58.674343,226.32867,126.29482,187.81532,162.1514,173.14471
World,OWID_WRL,1919,54.25213,84.128,142.67387,148.5958,102.14639,52.09107,167.8215,136.17851,54.86682,197.93271,143.3526,167.80981,175.03995,180.8313
World,OWID_WRL,1920,37.524967,171.51912,61.583286,89.79272,59.293346,32.88078,146.80513,118.37005,55.727493,152.77864,84.73054,108.91598,97.734566,120.82361
World,OWID_WRL,1921,36.478504,49.812714,55.743378,55.84873,39.799725,21.11405,95.404434,75.70067,71.42854,69.384026,53.519554,71.8285,84.43114,102.318436
World,OWID_WRL,1922,54.563225,48.024273,84.55191,63.009964,60.929707,26.579884,93.54422,60.746487,84.32678,78.53872,59.511032,84.62069,53.508926,57.588715
World,OWID_WRL,1923,68.56605,84.75579,98.44852,63.57174,66.67048,21.573248,78.939926,55.20535,78.65436,101.93101,63.97188,68.1071,56.9628,89.10816
World,OWID_WRL,1924,69.97397,64.25384,89.06244,68.48762,97.48249,21.5354,98.459785,89.78884,85.38987,119.27646,86.78362,77.13859,57.02533,111.54277
World,OWID_WRL,1925,67.837975,36.753212,64.4094,75.7471,114.9522,26.258938,116.61064,71.8301,83.95397,125.18512,70.05134,105.79132,70.2067,127.49862
World,OWID_WRL,1926,72.47608,36.07598,74.17532,69.38549,101.73089,31.479143,105.18629,75.7299,89.406425,89.8769,65.42373,104.767654,66.23628,83.59811
World,OWID_WRL,1927,72.74707,43.715183,78.60791,65.782715,103.33104,44.07422,92.542694,77.075096,84.387726,105.66701,79.332184,88.26849,60.937122,89.157715
World,OWID_WRL,1928,64.90606,36.604927,75.110634,67.53602,133.30266,36.20468,107.847725,77.39617,77.41684,121.266945,66.31641,85.84022,76.224976,110.94472
World,OWID_WRL,1929,63.228977,28.880768,56.716194,68.36767,129.40779,29.419275,89.06243,81.28495,77.26868,115.94704,62.93053,91.52994,80.76604,101.883896
World,OWID_WRL,1930,60.546005,21.184416,55.03187,55.59647,77.27201,23.791248,67.9467,43.19696,62.44205,104.42504,48.502995,85.39399,74.86052,93.560844
World,OWID_WRL,1931,49.702946,20.96339,27.585623,44.99624,56.5248,16.541748,51.45311,36.378197,38.413593,72.26284,43.072884,59.55539,136.81009,172.11792
World,OWID_WRL,1932,33.009857,14.950476,28.833893,39.73868,77.47793,15.606601,47.705547,33.303818,37.66281,47.502525,32.357246,40.76333,110.84155,147.20761
World,OWID_WRL,1933,52.329407,21.527903,56.730385,41.885063,70.12167,16.44955,69.634575,78.60483,33.7392,65.40788,66.97531,44.925552,109.11126,176.4497
World,OWID_WRL,1934,68.48187,25.562159,64.71368,57.5998,82.20183,18.81485,83.72958,87.36523,42.480194,103.13472,102.46452,55.360046,85.27428,179.799
World,OWID_WRL,1935,63.010925,33.099545,59.286236,80.07398,63.860424,17.643457,86.04993,47.09765,54.115513,125.932884,55.207573,106.36274,88.4235,288.14114
